OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,Latitude,Longitude,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_158521,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490717,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:21.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_158017,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490436,,,Total Coliform,,30,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:12.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060503_148391,Sample-Routine,Water,Surface Water,2006-05-03,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490505,,,Total Coliform,,70,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:14.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060508_148623,Sample-Routine,Water,Surface Water,2006-05-08,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490632,,,Enterococcus,,4,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:18.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_151115,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490774,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:23.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_151177,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490793,,,Fecal Coliform,,107,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:23.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060508_148607,Sample-Routine,Water,Surface Water,2006-05-08,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490615,,,Fecal Coliform,,20,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:18.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_158077,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490440,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:12.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060511_158553,Sample-Routine,Water,Surface Water,2006-05-11,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490817,,,Fecal Coliform,,2909,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:24.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060501_148125,Sample-Routine,Water,Surface Water,2006-05-01,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490354,,,Total Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:10.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_157799,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490420,,,Fecal Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:12.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060508_148597,Sample-Routine,Water,Surface Water,2006-05-08,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490609,,,Fecal Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:18.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_147293,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490746,,,Total Coliform,,1200,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:22.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_147273,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490742,,,Fecal Coliform,,20,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:22.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_147293,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490745,,,Fecal Coliform,,280,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:22.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_147331,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490767,,,Total Coliform,,30,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:23.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060508_148599,Sample-Routine,Water,Surface Water,2006-05-08,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490611,,,Enterococcus,,2,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:18.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060501_148175,Sample-Routine,Water,Surface Water,2006-05-01,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490364,,,Enterococcus,,2,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:10.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_158521,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490718,,,Fecal Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:21.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_158291,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490703,,,Fecal Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:21.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_151253,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490663,,,Fecal Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:19.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060508_148649,Sample-Routine,Water,Surface Water,2006-05-08,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490637,,,Total Coliform,,2,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:19.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060503_151175,Sample-Routine,Water,Surface Water,2006-05-03,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490537,,,Fecal Coliform,,74,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:15.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_158141,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490693,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:20.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_151165,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490790,,,Fecal Coliform,,63,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:23.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_151113,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490394,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:11.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_158291,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490704,,,Total Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:21.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_157915,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490429,,,Fecal Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:12.0,STORET
