OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,Latitude,Longitude,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060725_162527,Sample-Routine,Water,Surface Water,2006-07-25,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489528,,,Fecal Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:44.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060725_162669,Sample-Routine,Water,Surface Water,2006-07-25,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489556,,,Total Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9222B,APHA,9222 B ~ Standard Total Coliform Membrane Filter Procedure,,,,,,,,,,,2008-02-11 15:39:44.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060709_157471,Sample-Routine,Water,Surface Water,2006-07-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489163,,,Total Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:33.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060718_161849,Sample-Routine,Water,Surface Water,2006-07-18,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489404,,,Enterococcus,,1652,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,IDEXX,Enterolert Test Kit Procedure,,https://www.nemi.gov/methods/method_summary/5590/,,,,,,,,,2008-02-11 15:39:40.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060709_157463,Sample-Routine,Water,Surface Water,2006-07-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489159,,,Fecal Coliform,,12,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:33.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060712_157177,Sample-Routine,Water,Surface Water,2006-07-12,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489270,,,Fecal Coliform,,4225,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,,https://www.nemi.gov/methods/method_summary/5585/,,,,,,,,,2008-02-11 15:39:36.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060731_163207,Sample-Routine,Water,Surface Water,2006-07-31,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489667,,,Total Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,,https://www.nemi.gov/methods/method_summary/5585/,,,,,,,,,2008-02-11 15:39:48.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060715_159107,Sample-Routine,Water,Surface Water,2006-07-15,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489316,,,Total Coliform,,1700,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:37.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060711_159109,Sample-Routine,Water,Surface Water,2006-07-11,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489240,,,Fecal Coliform,,4,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-E,APHA,9221 E ~ Fecal Coliform Procedure- Multiple-Tube Procedure,,https://www.nemi.gov/methods/method_summary/5588/,,,,,,,,,2008-02-11 15:39:35.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060725_162629,Sample-Routine,Water,Surface Water,2006-07-25,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489542,,,Enterococcus,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,IDEXX,Enterolert Test Kit Procedure,,https://www.nemi.gov/methods/method_summary/5590/,,,,,,,,,2008-02-11 15:39:44.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060718_161879,Sample-Routine,Water,Surface Water,2006-07-18,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489413,,,Enterococcus,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,IDEXX,Enterolert Test Kit Procedure,,https://www.nemi.gov/methods/method_summary/5590/,,,,,,,,,2008-02-11 15:39:40.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060711_159115,Sample-Routine,Water,Surface Water,2006-07-11,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489250,,,Total Coliform,,20,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,,https://www.nemi.gov/methods/method_summary/5585/,,,,,,,,,2008-02-11 15:39:36.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060707_157377,Sample-Routine,Water,Surface Water,2006-07-07,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489140,,,Enterococcus,,20,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:33.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060711_159111,Sample-Routine,Water,Surface Water,2006-07-11,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489244,,,Total Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:35.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060731_162751,Sample-Routine,Water,Surface Water,2006-07-31,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489664,,,Total Coliform,,20,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:48.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060726_162529,Sample-Routine,Water,Surface Water,2006-07-26,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489588,,,Fecal Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:45.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060731_162719,Sample-Routine,Water,Surface Water,2006-07-31,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489639,,,Fecal Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,,https://www.nemi.gov/methods/method_summary/5587/,,,,,,,,,2008-02-11 15:39:47.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060724_162659,Sample-Routine,Water,Surface Water,2006-07-24,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489510,,,Fecal Coliform,,2,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-E,APHA,9221 E ~ Fecal Coliform Procedure- Multiple-Tube Procedure,,https://www.nemi.gov/methods/method_summary/5588/,,,,,,,,,2008-02-11 15:39:43.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060711_159113,Sample-Routine,Water,Surface Water,2006-07-11,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489247,,,Total Coliform,,187,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,,https://www.nemi.gov/methods/method_summary/5585/,,,,,,,,,2008-02-11 15:39:36.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060711_159115,Sample-Routine,Water,Surface Water,2006-07-11,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489249,,,Fecal Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,,https://www.nemi.gov/methods/method_summary/5585/,,,,,,,,,2008-02-11 15:39:36.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060707_157271,Sample-Routine,Water,Surface Water,2006-07-07,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489137,,,Enterococcus,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,IDEXX,Enterolert Test Kit Procedure,,https://www.nemi.gov/methods/method_summary/5590/,,,,,,,,,2008-02-11 15:39:32.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060717_162201,Sample-Routine,Water,Surface Water,2006-07-17,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489362,,,Enterococcus,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,IDEXX,Enterolert Test Kit Procedure,,https://www.nemi.gov/methods/method_summary/5590/,,,,,,,,,2008-02-11 15:39:39.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060717_161889,Sample-Routine,Water,Surface Water,2006-07-17,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489331,,,Total Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:38.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060703_157461,Sample-Routine,Water,Surface Water,2006-07-03,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489052,,,Total Coliform,,100,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:30.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060731_163381,Sample-Routine,Water,Surface Water,2006-07-31,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489691,,,Total Coliform,,173,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,,https://www.nemi.gov/methods/method_summary/5585/,,,,,,,,,2008-02-11 15:39:49.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060731_162729,Sample-Routine,Water,Surface Water,2006-07-31,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489653,,,Enterococcus,,150,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,1600,USEPA,Enterococci in Water by Membrane Filtration Using membrane-Enterococcus Indoxyl-B-D-Glucoside Agar (mEl),,https://www.nemi.gov/methods/method_summary/9790/,,,,,,,,,2008-02-11 15:39:47.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060724_161957,Sample-Routine,Water,Surface Water,2006-07-24,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489478,,,Total Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:42.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060705_157121,Sample-Routine,Water,Surface Water,2006-07-05,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489110,,,Enterococcus,,8,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:32.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060717_161889,Sample-Routine,Water,Surface Water,2006-07-17,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489329,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,IDEXX,Enterolert Test Kit Procedure,,https://www.nemi.gov/methods/method_summary/5590/,,,,,,,,,2008-02-11 15:39:38.0,STORET
